011000015,"FEDERAL RESERVE BANK;1000 PEACHTREE ST N.E.;ATLANTA, GA 30309-4470"
072402856,"FIRST FINANCIAL BANK;4400 LEWIS STREET;MIDDLETOWN, OH 45044-0000"
072402869,"HASTINGS CITY BANK;150 W COURT ST;HASTINGS, MI 49058-0000"
072402982,"HUNTINGTON NATIONAL BANK;7 EASTON OVAL;COLUMBUS, OH 43219-0000"
072403004,"ISABELLA BANK;2750 THREE LEAVES DR;MOUNT PLEASANT, MI 48858-0000"
072403046,"LAPEER COUNTY BANK & TRUST;PO BOX 250;LAPEER, MI 48446-0250"
072403211,"FIRSTBANK - ALMA;308 WOODWORTH AVE;ALMA, MI 48801-1826"
072403279,"HUNTINGTON NATIONAL BANK;7 EASTON OVAL;COLUMBUS, OH 43219-0000"
072403347,"UNITED BANK & TRUST;PO BOX 248;TECUMSEH, MI 49286-0000"
072403350,"THE STATE BANK;PO BOX 725;FENTON, MI 48430-0000"
072403402,"CHEMICAL BANK THUMB AREA;333 E MAIN ST.;MIDLAND, MI 48640-0000"
072403457,"HUNTINGTON NATIONAL BANK;7 EASTON OVAL;COLUMBUS, OH 43219-0000"
072403473,"HUNTINGTON NATIONAL BANK;7 EASTON OVAL;COLUMBUS, OH 43219-0000"
072403554,"COMMERCIAL BANK;PO BOX 280;ITHACA, MI 48847-0280"
072403583,"HUNTINGTON NATIONAL BANK;7 EASTON OVAL;COLUMBUS, OH 43219-0000"
072403635,"CHELSEA STATE BANK;1010 S MAIN ST;CHELSEA, MI 48118-0000"
072403664,"HUNTINGTON NATIONAL BANK;7 EASTON OVAL;COLUMBUS, OH 43219-0000"
072403677,"MASON STATE BANK;PO BOX 130;MASON, MI 48854-0000"
072403884,"HUNTINGTON NATIONAL BANK;7 EASTON OVAL;COLUMBUS, OH 43219-0000"
072403907,"FIFTH THIRD BANK;5050 KINGSLEY DR;CINCINNATI, OH 45263-0000"
072403978,"BLISSFIELD STATE BANK;PO BOX 40;BLISSFIELD, MI 49228-0000"
072403994,"HURON COMMUNITY BANK;323 NEWMAN ST;EAST TAWAS, MI 48730-0000"
072404058,"EASTERN MICHIGAN BANK;5190 E PECK RD;CROSWELL, MI 48422-0000"
072404142,"CHEMICAL BANK MICHIGAN;PO BOX 529;MIDLAND, MI 48640-0529"
072404197,"FIRST STATE BK DECATUR;124 PHELPS ST BOX 5;DECATUR, MI 49045-0000"
072404320,"UNION BANK;933 4TH AVE BOX 488;LAKE ODESSA, MI 48849-0000"
072404333,"OXFORD BANK;485 N. LAPEER ROAD;OXFORD, MI 48371-0017"
072404362,"FIFTH THIRD BANK;MD # IMOC24;CINCINNATI, OH 45263-0000"
072404485,"COMERICA BANK;PO BOX 75000;DETROIT, MI 48275-7570"
072404508,"G.W. JONES EXCHANGE BK;113-115 W. MAIN ST;MARCELLUS, MI 49067-0000"
072404650,"FIRSTBANK-LAKEVIEW;102 S. MAIN;MT PLEASANT, MI 48858-0000"
072404757,"FIRSTBANK (MT. PLEASANT);308 WOODWORTH AVE;ALMA, MI 48801-0000"
072404786,"COMERICA BANK;PO BOX 75000;DETROIT, MI 48275-7570"
072404841,"FIFTH THIRD BANK;MD 1MOC24;CINCINNATI, OH 45263-0000"
072404867,"CSB BANK;206 MAIN STREET;CAPAC, MI 48014-0000"
072404883,"CENTURY BANK & TRUST;100 W CHICAGO;COLDWATER, MI 49036-0000"
072404948,"CHEMICAL BANK WEST-EBS SERVICES;333 E. MAIN ST.;MIDLAND, MI 48640-0000"
072404977,"TRI-COUNTY BANK;PO BOX 100;BROWN CITY, MI 48416-0000"
072404993,"MAYVILLE STATE BANK;BOX 650;MAYVILLE, MI 48744-0000"
072405167,"ISABELLA BANK;2750 THREE LEAVES DR;MOUNT PLEASANT, MI 48858-0000"
072405206,"THE PORT AUSTIN STATE BANK;PO BOX 360;PORT AUSTIN, MI 48467-0000"
072405280,"EXCHANGE STATE BANK;3992 CHANDLER ST;CARSONVILLE, MI 48419-0000"
072405442,"ALDEN STATE BK;PO BOX 39;ALDEN, MI 49612-0039"
072405455,"FIFTH THIRD BANK;5050 KINGSLEY DRIVE;CINCINNATI, OH 45263-0000"
072405604,"LAKE-OSCEOLA STATE BK;PO BOX A;BALDWIN, MI 49304-0000"
072405620,"WEST MICHIGAN SAVINGS BANK;232 W MONROE ST;BANGOR, MI 49013-0000"
072405662,"FIFTH THIRD BANK;MD 1MOC24;CINCINNATI, OH 45263-0000"
072405688,"BAY PORT STATE BK;9840 MAIN ST;BAY PORT, MI 48720-0000"
072405743,"CENTRAL STATE BK-BEULAH;703 MAIN STREET;FRANKFORT, MI 49635-0000"
072406412,"ISABELLA BANK;2750 THREE LEAVES DR;MOUNT PLEASANT, MI 48858-0000"
072406506,"STATE SAVINGS BANK;703 MAIN ST BOX 1169;FRANKFORT, MI 49635-1169"
072406522,"FREELAND STATE BANK;185 E. WASHINGTON ST;FREELAND, MI 48623-0000"
072406768,"TALMER BANK AND TRUST;SUITE 525;TROY, MI 48084-0000"
072406771,"FIRST COMMUNITY BANK;200 E. MAIN ST.;HARBOR SPRINGS, MI 49740-0000"
072406865,"HONOR BANK;2254 HENRY ST POB 67;HONOR, MI 49640-0067"
072406975,"CHOICEONE BANK;450 W. MUSKEGON;KENT CITY, MI 49330-0000"
072407000,"INDEPENDENT BANK;115 E MAIN ST;BELDING, MI 48809-0000"
072407084,"FIRST STATE BK OF EAST DETROIT;24300 LITTLE MACK;ST CLAIR SHRS, MI 48080-0000"
072407110,"HUNTINGTON NATIONAL BANK;7 EASTON OVAL;COLUMBUS, OH 43219-0000"
072407123,"INDEPENDENT BANK;115 E MAIN ST;BELDING, MI 48809-0000"
072407495,"COMM. STATE BK-STCHARLES;132 S. SAGINAW ST.;ST. CHARLES, MI 48655-0000"
072407505,"FIRSTBANK;308 WOODWORTH AVENUE;ALMA, MI 48801-0000"
072407660,"INDEPENDENT BK EAST MICHIGAN;115 E MAIN ST;BELDING, MI 48809-0000"
072407741,"OSB COMMUNITY BANK;417 S. MAIN ST;BROOKLYN, MI 49230-0000"
072407929,"THUMB NATL BK & TR CO.;7254 MICHIGAN AVENUE;PIGEON, MI 48755-0000"
072407987,"SIGNATURE BANK;PO BOX 9;CASS CITY, MI 48726-0000"
072408232,"RUTH STATE BK;7004 E.ATWATER RD;RUTH, MI 48470-0000"
072408274,"KALAMAZOO COUNTY STATE BANK;PO BOX 668;SCHOOLCRAFT, MI 49087-0000"
072408290,"WEST SHORE BANK;PO BOX 627;LUDINGTON, MI 49431-0627"
072408436,"CHOICEONE BANK;450 W. MUSKEGON;KENT CITY, MI 49330-0000"
072408478,"CHEMICAL BANK MONTCALM;333 E. MAIN ST.;MIDLAND, MI 48640-0000"
072408504,"FIFTH THIRD BANK;MD 1MOC 24;CINCINNATI, OH 45263-0000"
072408546,"SSBBANK;PO BOX 427;STOCKBRIDGE, MI 49285-0427"
072408708,"INDEPENDENT BANK;115 E MAIN ST;BELDING, MI 48809-0000"
072408805,"UNITED BK OF MICHIGAN;900 E PARIS AVE SE;GRAND RAPIDS, MI 49546-0000"
072408892,"FIRSTBANK (MT. PLEASANT);102 S MAIN;MT PLEASANT, MI 48858-0000"
072409464,"CHEMICAL BANK;333 E. MAIN STREET;MIDLAND, MI 48640-0000"
072409794,"COMERICA BANK;PO BOX 75000;DETROIT, MI 48275-7570"
072409888,"FIFTH THIRD BANK;MD# 1 MOC24;CINCINNATI, OH 45263-0000"
072410013,"CHEMICAL BANK & TRUST COMPANY;333 E. MAIN STREET;MIDLAND, MI 48640-0000"
072410123,"CITIZENS BANK;328 S SAGINAW ST;FLINT, MI 48502-0000"
072410165,"FIRST STATE BK OF EAST DETROIT;24300 LITTLE MACK;ST CLAIR SHRS, MI 48080-0000"
072410194,"CHEMICAL BANK SHORELINE;333 E. MAIN ST.;MIDLAND, MI 48640-0000"
072410343,"HUNTINGTON NATIONAL BANK;7 EASTON OVAL;COLUMBUS, OH 43219-0000"
072410550,"FIRST NAT'L BANK HOWELL;PO BOX 800;HOWELL, MI 48844-0000"
072410903,"THE DART BANK;368 S PARK ST;MASON, MI 48854-0040"
072410929,"SIDNEY STATE BANK;3016 WEST SIDNEY ROAD;SIDNEY, MI 48885-0000"
072411025,"FARMERS STATE BANK;201 N. MAIN ST.;MUNITH, MI 49259-0000"
072411436,"NORTHSTAR BANK;SUITE B;BAD AXE, MI 48413-0000"
072411643,"FIFTH THIRD BANK;MD 1MOC24;CINCINNATI, OH 45263-0000"
072411708,"SHELBY STATE BANK;8238 WHITEHALL RD;WHITEHALL, MI 49461-0000"
072412008,"CENTURY BANK & TRUST;100 W CHICAGO;COLDWATER, MI 49036-0000"
072412011,"EASTERN MICHIGAN BANK;5190 E PECK RD;CROSWELL, MI 48422-0000"
072412037,"COMM.STATE BK-STCHARLES;132 S. SAGINAW ST.;ST. CHARLES, MI 48655-0000"
072412176,"PNC BANK, NA;LOCATER 01-5138;CLEVELAND, OH 44135-0000"
072412354,"INDEPENDENT BANK;115 E MAIN ST;BELDING, MI 48809-0000"
072412435,"FIRST NATIONAL BANK OF AMERICA;241 E SAGINAW ST;EAST LANSING, MI 48826-0980"
072412561,"HUNTINGTON NATIONAL BANK;7 EASTON OVAL;COLUMBUS, OH 43219-0000"
072412655,"FIDELITY BANK;4000 ALLEN ROAD;ALLEN PARK, MI 48101-0000"
072412697,"HUNTINGTON NATIONAL BANK;7 EASTON OVAL;COLUMBUS, OH 43219-0000"
072412752,"COMMERCIAL BANK;101 N PINE RIVER;ITHACA, MI 48001-0000"
072412778,"TALMER BANK AND TRUST;SUITE 525;TROY, MI 48084-0000"
072412781,"FIDELITY BANK;4000 ALLEN ROAD;ALLEN PARK, MI 48101-0000"
072412927,"BANK ONE, N A-DEARBORN;2ND FLOOR;TAMPA, FL 33610-0000"
072412972,"INDEPENDENT BANK;115 E MAIN ST;BELDING, MI 48809-0000"
072412985,"INDEPENDENT BANK;115 E MAIN ST;BELDING, MI 48809-0000"
072413036,"JPMORGAN CHASE BANK, NA;2ND FLOOR;TAMPA, FL 33610-0000"
072413049,"HUNTINGTON NATIONAL BANK;7 EASTON OVAL;COLUMBUS, OH 43219-0000"
072413104,"WEST MICHIGAN COMMUNITY BANK;3202 OWEN RD;FENTON, MI 48430-0725"
072413133,"COMERICA BANK;PO BOX 75000;DETROIT, MI 48275-7570"
072413146,"FIFTH THIRD BANK;MD 1MOC24;CINCINNATI, OH 45263-0000"
072413175,"FIFTH THIRD BANK;MD 1MOC24;CINCINNATI, OH 45263-0000"
072413201,"JPMORGAN CHASE BANK, NA;2ND FLOOR;TAMPA, FL 33610-0000"
072413227,"FIRST BANK;PO BOX 335;WEST BRANCH, MI 48661-0000"
072413243,"CHEMICAL BANK NORTH;333 E. MAIN ST.;MIDLAND, MI 48640-0000"
072413256,"COMERICA BANK;PO BOX 75000;DETROIT, MI 48275-7570"
072413285,"HURON NATIONAL BANK;200 EAST ERIE ST;ROGERS CITY, MI 49779-0000"
072413298,"FIFTH THIRD BANK;MD 1MOC24;CINCINNATI, OH 45263-0000"
072413421,"WEST MICHIGAN BANK & TRUST;PO BOX 1009;FRANKFORT, MI 49635-0000"
072413450,"CAPITOL NATIONAL BANK;200 WASHINGTON SQUARE NORTH;LANSING, MI 48933-1375"
072413528,"HUNTINGTON NATIONAL BANK;7 EASTON OVAL;COLUMBUS, OH 43219-0000"
072413557,"MICHIGAN COMMERCE BANK;200 WASHINGTON SQUARE NORTH;LANSING, MI 48933-0000"
072413560,"INDEPENDENT BANK;115 E MAIN ST;BELDING, MI 48809-0000"
072413586,"THE PRIVATE BK. & TR. CO;STE 200;CHICAGO, IL 60602-0000"
072413599,"MICHIGAN COMMERCE BANK;200 N WASHINGTON SQ;LANSING, MI 48933-0000"
072413609,"BANK OF AMERICA;1400 BEST PLAZA;RICHMOND, VA 23227-0000"
072413612,"MICHIGAN COMMERCE BANK;200 WASHINGTON SQUARE NORTH;LANSING, MI 48933-0000"
072413625,"HORIZON BANK N A;502 FRANKLIN SQ;MICHIGAN CITY, IN 46360-0000"
072413638,"FOUNDERS TRUST PERSONAL BANK;PO BOX 1828;GRAND RAPIDS, MI 49501-1828"
072413654,"MICHIGAN COMMERCE BANK;222 WASHINGTON SQ N;LANSING, MI 48933-0000"
072413670,"FIDELITY BANK;4000 ALLEN ROAD;ALLEN PARK, MI 48101-0000"
072413683,"CHARLEVOIX STATE BANK;102 M-66;CHARLEVOIX, MI 49720-0000"
072413706,"MICHIGAN COMMERCE BANK;200 N. WASHINGTON SQ.;LANSING, MI 48933-0000"
072413719,"SELECT BANK;60 MONROE CENTER;GRAND RAPIDS, MI 49503-0000"
072413722,"UNIVERSITY BANK;2015 WASHTENAW;ANN ARBOR, MI 48104-0000"
072413735,"BANK OF ANN ARBOR;125 S. FIFTH AVE;ANN ARBOR, MI 48104-0000"
072413748,"MICHIGAN COMMERCE BANK;200 W. WASHINGTON SQ.;LANSING, MI 48933-0000"
072413751,"TALMER BANK AND TRUST;SUITE 525;TROY, MI 48084-0000"
072413764,"CRESTMARK BANK;SUITE 350;TROY, MI 48098-0000"
072413777,"MICHIGAN COMMERCE BANK;200 WASHINGTON SQ N;LANSING, MI 48933-0000"
072413780,"LEVEL ONE BANK;STE 200;FARMINGTON HILLS, MI 48334-0000"
072413816,"KEYSTONE COMMUNITY BANK;107 W MICHIGAN AVENUE;KALAMAZOO, MI 49007-0000"
072413829,"MERCANTILE BANK OF MICHIGAN;5610 BYRON CENTER AVE SW;WYOMING, MI 49519-0000"
072413832,"MICHIGAN COMMERCE BANK;200 WASHINGTON SQ;LANSING, MI 48933-0000"
072413845,"MACATAWA BANK;10753 MACATAWA DRIVE;HOLLAND, MI 49424-0000"
072413858,"MICHIGAN COMMERCE BANK;SUITE 133;LANSING, MI 48901-0000"
072413861,"LEVEL ONE BANK;30201 OCHARD LAKE RD;FARMINGTON HILLS, MI 48334-0000"
072413874,"HUNTINGTON NATIONAL BANK;EA2W40;COLUMBUS, OH 43272-4195"
072413887,"TALMER BANK AND TRUST;SUITE 525;TROY, MI 48084-0000"
072413900,"THE BANK OF HOLLAND;150 CENTRAL AVE;HOLLAND, MI 49423-0000"
072413926,"NORTHPOINTE BANK;3333 DEPOSIT DR NE;GRAND RAPIDS, MI 49546-0000"
072413939,"CLARKSTON STATE BANK;STE 24;WATERFORD, MI 48327-0000"
072413942,"COMMUNITY SHORES BANK;5797 HARVEY STREET;MUSKEGON, MI 49444-0000"
072413968,"ISABELLA BANK;2750 THREE RIVERS DR;MT PLEASANT, MI 48858-0000"
072413971,"THE PRIVATE BANK;STE 1300;BLOOMFIELD HILLS, MI 48304-0000"
072413997,"TRAVERSE CITY STATE BANK;310 W FRONT ST;TRAVERSE CITY, MI 49684-0000"
072414006,"THE BANK OF NORTHERN MICHIGAN;150 CENTRAL AVENUE;HOLLAND, MI 49422-0000"
072414019,"DAVISON STATE BK;PO BOX 725;FENTON, MI 48430-0725"
072414022,"FIRST BANK - ST. JOHNS;308 WOODWORTH AVE;ALMA, MI 48801-1826"
072414048,"COMMUNITY BANK OF DEARBORN;4000 ALLEN ROAD;ALLEN PARK, MI 48101-0000"
072414051,"BANK OF ALPENA;468 N RIPLEY BLVD;ALPENA, MI 49707-0000"
072414064,"NORTHSTAR BANK;175 THOMPSON ROAD STE B.;BAD AXE, MI 48413-0000"
072414077,"UNITED BANK & TRUST WASHTENAW;209 E RUSSELL;TECUMSEH, MI 49286-0000"
072414093,"BANK OF ANN ARBOR;125 S. FIFTH AVE;ANN ARBOR, MI 48104-0000"
072414129,"SEAWAY COMMUNITY BANK;175 THOMPSON RD. SUITE B;BAD AXE, MI 48413-0000"
072414132,"SUMMIT COMMUNITY BANK;1600 ABBOT ROAD;EAST LANSING, MI 48823-0000"
072414158,"1ST STATE BANK;4805 TOWNE CENTRE #100;SAGINAW, MI 48604-0000"
072414161,"BANK OF MICHIGAN;30095 NORTHWESTERN HWY;FARMINGTON HILLS, MI 48334-0000"
072414174,"NSTAR COMMUNITY BANK;31780 TELEGRAPH RD;BINGHAM FARMS, MI 48025-0000"
072414187,"MICHIGAN COMMERCE BANK;1988 N. OPDYKE RD.;AUBURN HILLS, MI 48326-0000"
072414190,"HURON VALLEY STATE BANK;130 S. MILFORD RD;MILFORD, MI 48381-0000"
072414200,"BYRON BANK;2445 84TH STREET SW;BRYON CENTER, MI 49315-0000"
072414226,"BANK OF BIRMINGHAM;33583 WOODWARD AVE.;BIRMINGHAM, MI 48009-0000"
072414239,"FIRST NATIONAL BANK OF MICHIGAN;348 W MICHIGAN AVE;KALAMAZOO, MI 49007-0000"
072414242,"LOTUS BANK;44350 W TWELVE MILE;NOVI, MI 48377-0000"
072414255,"TALMER BANK AND TRUST;SUITE 525;TROY, MI 48084-0000"
072414271,"FOUNDERS BANK AND TRUST;5200 CASCADE ROAD SE;GRAND RAPIDS, MI 49546-0000"
072414284,"LOTUS BANK;44350 W. TWELVE MILE;NOVI, MI 48377-0000"
072414297,"FIRST FINANCIAL BANK, NA;4400 LEWIS STREET;MIDDLETOWN, OH 45044-0000"
072414310,"LEVEL ONE BANK;30201 ORCHARD LAKE RD;FARMINGTON HILLS, MI 48334-0000"
072414323,"MACATAWA BANK;10753 MACATAWA DRIVE;HOLLAND, MI 49424-0000"
072414336,"LAPEER COUNTY BANK & TRUST CO;PO BOX 250;LAPEER, MI 48446-0000"
072414352,"CAPITOL NATIONAL BANK;200 WASHINGTON SQUARE NORTH;LANSING, MI 48933-0000"
072414378,"GRAND RIVER BANK;4471 WILSON AVE SW;GRANDVILLE, MI 49418-0000"
072414394,"ANN ARBOR STATE BANK;125 W WILLIAM ST;ANN ARBOR, MI 48104-0000"
072414420,"SIGNATURE BANK;ONE EAST HURON AVE;BAD AXE, MI 48413-0000"
072414433,"UNION BANK;PO BOX 488;LAKE ODESSA, MI 48849-0000"
072471887,"THE NORTHERN TRUST COMPANY;50 S LASALLE ST (L5);CHICAGO, IL 60675-0000"
072471939,"GUARANTY BANK;4000 W BROWNDEER ROAD;MILWAUKEE, WI 53209-0000"
072471955,"AUTO CLUB TRUST, FSB;1 AUTO CLUB DRIVE;DEARBORN, MI 48126-0000"
072478660,"IRON WORKERS LOCAL 25 CU;25150 TRANSX DR;NOVI, MI 48375-0000"
072486788,"BETHEL AME CHURCH FEDERAL CR UN;535 CATHAY STREET;SAGINAW, MI 48601-0000"
072486791,"DFCU FINANCIAL;400 TOWN CENTER DR.;DEARBORN, MI 48124-0000"
072486830,"INSPIRE COMMUNITY DEVELOPMENT FCU;PO BOX 4078;BATTLE CREEK, MI 49016-0000"
072486843,"CHIPPEWA EAGLE FEDERAL CREDIT UNION;SUITE 1;MT. PLEASANT, MI 48858-0000"
073000079,"US BANK NA;EP-MN-WN1A;ST. PAUL, MN 55107-1419"
073000176,"BANK OF AMERICA N A;8001 VILLA PARK DRIVE;HENRICO, VA 23228-0000"
073000228,"WELLS FARGO BK NA IOWA;255 2ND AVE S;MINNEAPOLIS, MN 55479-0000"
073000338,"FRB- DES MOINES ACH;1000 PEACHTREE STREET NE;ATLANTA, GA 30309-0000"
073000545,"US BANK NA;EP-MN-WN1A;ST. PAUL, MN 55107-1419"
073000642,"BANKERS TRUST COMPANY N A;453 7TH ST;DES MONIES, IA 50309-0000"
073000794,"IOWA STATE BANK;627 E LOCUST;DES MOINES, IA 50309-0000"
073000820,"WELLS FARGO AND COMPANY;255 2ND AVE SOUTH;MINNEAPOLIS, MN 55479-0000"
073000914,"FEDERAL HOME LOAN BANK DES MOINES;SKYWALK LEVEL, SUITE 200;DES MOINES, IA 50309-3513"
073022691,"COMMUNITY STATE BANK;1401 NORTH JEFFERSON;INDIANOLA, IA 50125-0257"
073900085,"SECURITY NATIONAL BANK;601 PIERCE ST;SIOUX CITY, IA 51101-0000"
073900108,"GUARANTY BANK & TRUST CO.;302 THIRD AVENUE SE;CEDAR RAPIDS, IA 52401-0000"
073900182,"NORTHWEST BANK & TRUST CO;100 E KIMBERLY RD;DAVENPORT, IA 52806-0000"
073900438,"REGIONS BANK;P. O. BOX 681;BIRMINGHAM, AL 35201-0000"
073900441,"CLINTON NATIONAL BANK;235 6TH AVE. S.;CLINTON, IA 52732-0000"
073900522,"AMERICAN TRUST & SAVINGS B;PO BOX 938;DUBUQUE, IA 52004-0938"
073900535,"DUBUQUE BANK AND TRUST CO.;1398 CENTRAL AVE;DUBUQUE, IA 52001-0000"
073900577,"TWO RIVERS BANK & TRUST;222 N MAIN ST;BURLINGTON, IA 52601-0000"
073900580,"FARMERS & MERCHANTS BANK & TRUST;221 JEFFERSON STREET;BURLINGTON, IA 52601-0000"
073900690,"SOUTH OTTUMWA SAVINGS BANK;PO BOX 516;OTTUMWA, IA 52501-0000"
073900739,"PINNACLE BANK SIOUX CITY;1901 MORNINGSIDE AVE;SIOUX CITY, IA 51106-0000"
073900742,"CENTRAL STATE BANK;PO BOX 146;MUSCATINE, IA 52761-0146"
073900755,"1ST NATL BK MUSCATINE;300 E 2ND STREET;MUSCATINE, IA 52761-0000"
073900807,"FIRST AMERICAN BANK;12333 UNIVERSITY AVENUE;CLIVE, IA 50325-0000"
073900878,"KEOKUK SVG BK & TR CO;501 MAIN STREET;KEOKUK, IA 52632-0000"
073900894,"STATE CENTRAL BANK;601 MAIN STREET;KEOKUK, IA 52632-0000"
073900975,"GREAT WESTERN BANK;100 NORTH PHILIPS AVENUE;SIOUX FALLS, SD 57104-0000"
073901097,"BOONE BANK AND TRUST;716 8TH STREET;BOONE, IA 50036-0000"
073901233,"MIDWESTONE BANK;102 S.CLINTON ST.;IOWA CITY, IA 52240-0000"
073901288,"FIRST NATIONAL BANK MIDWEST;PO BOX 420;OSKALOOSA, IA 52577-0000"
073901301,"LEE COUNTY BANK AND TRUST N A;801 AVENUE F;FORT MADISON, IA 52627-0000"
073901314,"FORT MADISON BANK & TRUST CO;PO BOX 329;FORT MADISON, IA 52627-0000"
073901411,"IOWA TRUST AND SAVINGS BAN;200 N 10TH ST;CENTERVILLE, IA 52544-0000"
073901479,"1ST NATL BK IN CRESTON;101 W. ADAMS;CRESTON, IA 50801-0000"
073901495,"IOWA STATE SAVINGS BANK;PO BOX 109;CRESTON, IA 50801-0000"
073901550,"FIDELITY BANK AND TRUST;PO BOX 277;DYERSVILLE, IA 52040-0000"
073901592,"1ST SECUR BK & TR CO;809 CLARK STREET;CHARLES CITY, IA 50616-0577"
073901602,"FIRST CITIZENS NATIONAL BANK;PO BOX 1708;MASON CITY, IA 50402-1708"
073901725,"GRINNELL STATE BANK;PO BOX 744;GRINNELL, IA 50112-0744"
073901851,"THE CITY NATIONAL BANK;116 S BLOSSOM;SHENANDOAH, IA 51601-0000"
073901864,"BANK IOWA;1150 JORDAN CREEK PARKWAY;WEST DES MOINES, IA 50266-0000"
073901877,"FIRST NATIONAL BANK IN FAIRFIELD;100 EAST BURLINGTON;FAIRFIELD, IA 52556-0000"
073901880,"IA ST BK & TR CO;101 N COURT ST;FAIRFIELD, IA 52556-0000"
073901903,"FIRST IOWA STATE BANK;PO BOX 698;ALBIA, IA 52531-0698"
073901929,"PEOPLES STATE BANK;102 S MAIN;ALBIA, IA 52531-0000"
073901961,"STATE SAVINGS BANK;612 CENTRAL;BEDFORD, IA 50833-0000"
073901974,"CHEROKEE STATE BANK;212 W. WILLOW ST;CHEROKEE, IA 51012-0000"
073902096,"FIRST NEWTON NATIONAL BANK;PO BOX 489;NEWTON, IA 50208-0000"
073902151,"FIRST WHITNEY BANK & TRUST;223 CHESTNUT STREET;ATLANTIC, IA 50022-0000"
073902180,"VALLEY STATE BANK;PO BOX 405;ELDRIDGE, IA 52748-0405"
073902216,"WASHINGTON STATE BANK;121-125 SOUTH MARION;WASHINGTON, IA 52353-0311"
073902232,"QUAD CITY BANK & TR;4500 N BRADY ST;DAVENPORT, IA 52806-0000"
073902245,"BANK IOWA;1150 JORDAN CREEK PARKWAY;WEST DES MOINES, IA 50266-0000"
073902274,"FIRST NATIONAL BANK AMES;405 FIFTH ST;AMES, IA 50010-0607"
073902287,"UNITED BANK OF IOWA;116 N KIEL;HOLSTEIN, IA 51025-0000"
073902290,"FIRST NATIONAL BANK;PO BOX 330;SIOUX CENTER, IA 51250-0330"
073902313,"PRIMEBANK;37 FIRST AVE. N.W.;LE MARS, IA 51031-3511"
073902397,"PAGE COUNTY STATE BANK;PO BOX 237;CLARINDA, IA 51632-0237"
073902436,"MIDWEST HERITAGE BANK FSB;1025 BRADEN AVE;CHARITON, IA 50049-0000"
073902494,"BANK OF THE WEST;PO BOX 87003;LOS ANGELES, CA 90087-7003"
073902546,"CARROLL COUNTY STATE BANK;126 W 6TH ST;CARROLL, IA 51401-2341"
073902672,"SECURITY SAVINGS BANK;PO BOX 347;EAGLE GROVE, IA 50533-0000"
073902766,"FIRST NATIONAL BANK;316 EAST BREMER AVENUE;WAVERLY, IA 50677-0837"
073902779,"STATE BANK & TRUST COMPANY;PO BOX 70;NEW HAMPTON, IA 50659-0000"
073902821,"IOWA STATE SAVINGS BANK;222 E ROBINSON;KNOXVILLE, IA 50138-0438"
073902889,"CRAWFORD CTY TR & SVG BK;21 N MAIN;DENISON, IA 51442-0000"
073903053,"CITIZENS SAVINGS BANK;PO BOX 137;ANAMOSA, IA 52205-0000"
073903147,"FARMERS & MERCHANTS ST BK;PO BOX 29;WINTERSET, IA 50273-0029"
073903150,"UNION STATE BANK;201 W. COURT AVE;WINTERSET, IA 50273-0000"
073903244,"FARMERS & MERCHANTS SAVINGS BANK;PO BOX 588;MANCHESTER, IA 52057-0000"
073903286,"C US BANK;PO BOX 57;CRESCO, IA 52136-0000"
073903312,"HAMPTON STATE BANK;PO BOX 119;HAMPTON, IA 50441-0119"
073903325,"FIRST NATIONAL BANK OF HAMPTON;PO BOX 59;HAMPTON, IA 50441-0000"
073903354,"WEST BANK;PO BOX 65020;WEST DES MOINES, IA 50265-0000"
073903367,"FIRST BANK;5625 MILLS CIVIC PKWY;WEST DES MOINES, IA 50266-0000"
073903383,"MID STATES BANK;PO BOX 68;AVOCA, IA 51521-0000"
073903419,"FIRST STATE BANK OF COLFAX;100 N. WALNUT;COLFAX, IA 50054-0000"
073903493,"HOME TRUST & SAVINGS BANK;628 MAIN ST;OSAGE, IA 50461-0000"
073903503,"CENTRAL BANK;PO BOX 578;STORM LAKE, IA 50588-0000"
073903516,"CITIZ 1ST NATL BK;PO BOX 1227;STORM LAKE, IA 50588-0000"
073903529,"SECURITY TRUST & SAVINGS B;601 LAKE PO BOX 429;STORM LAKE, IA 50588-1851"
073903642,"LUANA SAVINGS BANK;PO BOX 68;LUANA, IA 52156-0000"
073903749,"FIRST STATE BANK;722 CENTRAL AVE;HAWARDEN, IA 51023-0111"
073903891,"KEOKUK COUNTY STATE BANK;PO BOX 207;SIGOURNEY, IA 52591-0000"
073903943,"SUCCESS BANK;PO BOX 35;BLOOMFIELD, IA 52537-0035"
073903985,"WAUKON STATE BANK;22 W MAIN STREEET;WAUKON, IA 52172-0000"
073904036,"CLEAR LAKE BANK & TRUST CO;PO BOX 8;CLEAR LAKE, IA 50428-0000"
073904117,"HARDIN COUNTY SAVINGS BANK;1202 EDGINGTON AVE;ELDORA, IA 50627-0000"
073904159,"AUDUBON STATE BANK;315 BROADWAY ST;AUDUBON, IA 50025-0000"
073904188,"GREAT WESTERN BANK;100 N PHILLIPS;SIOUX FALLS, SD 57101-0000"
073904230,"PEOPLES STATE BANK;301 E BLACKHAWK;PRAIRIE DU CHIEN, WI 53821-0000"
073904447,"OKEY VERNON 1ST NATL BK;701 DAVIS;CORNING, IA 50841-0000"
073904502,"CORYDON STATE BANK;201 W JACKSON;CORYDON, IA 50060-0000"
